year,player_name,nationality,role,capped_status,base_price,base_price_currency,sold_price,sold_price_currency,team_name,source_file,player_name_canonical_id,player_name_canonical_name,player_name_mapping_method
2013,Christopher Morris,,All-Rounder,,,,625000.0,USD,Chennai Super Kings,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Christopher Morris,unresolved
2013,Dirk Nannes,,Bowler,,,,600000.0,USD,Chennai Super Kings,IPL_Auction_2013_Sold_Player.csv,c404f58a,DP Nannes,surname_initials_matching
2013,Ben Laughlin,,Bowler,,,,20000.0,USD,Chennai Super Kings,IPL_Auction_2013_Sold_Player.csv,b2a79f17,B Laughlin,fuzzy_string_matching
2013,Akila Dananjaya,,All-Rounder,,,,20000.0,USD,Chennai Super Kings,IPL_Auction_2013_Sold_Player.csv,5b16a806,A Dananjaya,fuzzy_string_matching
2013,Jason Holder,,Bowler,,,,20000.0,USD,Chennai Super Kings,IPL_Auction_2013_Sold_Player.csv,0f721006,JO Holder,fuzzy_string_matching
2013,Johan Botha,,All-Rounder,,,,450000.0,USD,Delhi Daredevils,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Johan Botha,unresolved
2013,Jesse Ryder,,All-Rounder,,,,260000.0,USD,Delhi Daredevils,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Jesse Ryder,unresolved
2013,Jeevan Mendis,,All-Rounder,,,,50000.0,USD,Delhi Daredevils,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Jeevan Mendis,unresolved
2013,Manpreet Gony,,Bowler,,,,500000.0,USD,Kings XI Punjab,IPL_Auction_2013_Sold_Player.csv,ae78bc32,MS Gony,surname_initials_matching
2013,Luke Pomersbach,,Batsman,,,,300000.0,USD,Kings XI Punjab,IPL_Auction_2013_Sold_Player.csv,b63ab531,LA Pomersbach,fuzzy_string_matching
2013,Sachithra Senanayaka,,All-Rounder,,,,625000.0,USD,Kolkata Knight Riders,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Sachithra Senanayaka,unresolved
2013,Ryan McLaren,,Bowler,,,,50000.0,USD,Kolkata Knight Riders,IPL_Auction_2013_Sold_Player.csv,c654af19,R McLaren,fuzzy_string_matching
2013,Glenn Maxwell,,All-Rounder,,,,1000000.0,USD,Mumbai Indians,IPL_Auction_2013_Sold_Player.csv,b681e71e,GJ Maxwell,surname_initials_matching
2013,Nathan Coulter-Nile,,Bowler,,,,450000.0,USD,Mumbai Indians,IPL_Auction_2013_Sold_Player.csv,56ab442f,NM Coulter-Nile,fuzzy_string_matching
2013,Ricky Ponting,,Batsman,,,,400000.0,USD,Mumbai Indians,IPL_Auction_2013_Sold_Player.csv,7d415ea5,RT Ponting,fuzzy_string_matching
2013,Philip Hughes,,Batsman,,,,100000.0,USD,Mumbai Indians,IPL_Auction_2013_Sold_Player.csv,004c9e85,PJ Hughes,surname_initials_matching
2013,Jacob Oram,,All-Rounder,,,,50000.0,USD,Mumbai Indians,IPL_Auction_2013_Sold_Player.csv,3eac9d95,JDP Oram,surname_initials_matching
2013,Ajantha Mendis,,Bowler,,,,725000.0,USD,Pune Warriors India,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Ajantha Mendis,unresolved
2013,Kane Richardson,,Bowler,,,,700000.0,USD,Pune Warriors India,IPL_Auction_2013_Sold_Player.csv,f308f629,A Richardson,fuzzy_string_matching
2013,Abhishek Nayar,,All-Rounder,,,,675000.0,USD,Pune Warriors India,IPL_Auction_2013_Sold_Player.csv,c8ded7bc,Abhishek Tanwar,fuzzy_string_matching
2013,Michael Clarke,,Batsman,,,,400000.0,USD,Pune Warriors India,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Michael Clarke,unresolved
2013,James Faulkner,,All-Rounder,,,,400000.0,USD,Rajasthan Royals,IPL_Auction_2013_Sold_Player.csv,808f425a,JP Faulkner,surname_initials_matching
2013,Fidel Edwards,,Bowler,,,,210000.0,USD,Rajasthan Royals,IPL_Auction_2013_Sold_Player.csv,a7c226e1,FH Edwards,surname_initials_matching
2013,Kusal Janith Perera,,Wicket Keeper,,,,20000.0,USD,Rajasthan Royals,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Kusal Janith Perera,unresolved
2013,Jaydev Unadkat,,Bowler,,,,525000.0,USD,Royal Challengers Bengaluru,IPL_Auction_2013_Sold_Player.csv,1e66c162,JD Unadkat,fuzzy_string_matching
2013,Rudra Pratap Singh,,Bowler,,,,400000.0,USD,Royal Challengers Bengaluru,IPL_Auction_2013_Sold_Player.csv,7700398a,R Pratap Singh,fuzzy_string_matching
2013,Moises Henriques,,All-Rounder,,,,300000.0,USD,Royal Challengers Bengaluru,IPL_Auction_2013_Sold_Player.csv,32198ae0,MC Henriques,fuzzy_string_matching
2013,Ravi Rampaul,,Bowler,,,,290000.0,USD,Royal Challengers Bengaluru,IPL_Auction_2013_Sold_Player.csv,d68e7f48,R Rampaul,fuzzy_string_matching
2013,Pankaj Singh,,Bowler,,,,150000.0,USD,Royal Challengers Bengaluru,IPL_Auction_2013_Sold_Player.csv,e32d22f6,Pankaj Singh,exact_match
2013,Daniel Christian,,All-Rounder,,,,100000.0,USD,Royal Challengers Bengaluru,IPL_Auction_2013_Sold_Player.csv,UNRESOLVED,Daniel Christian,unresolved
2013,Christopher Barnwell,,All-Rounder,,,,50000.0,USD,Royal Challengers Bengaluru,IPL_Auction_2013_Sold_Player.csv,0d51e658,CD Barnwell,surname_initials_matching
2013,Thisara Perera,,All-Rounder,,,,675000.0,USD,Sunrisers Hyderabad,IPL_Auction_2013_Sold_Player.csv,7af95dbb,Ishara Perera,fuzzy_string_matching
2013,Darren Sammy,,All-Rounder,,,,425000.0,USD,Sunrisers Hyderabad,IPL_Auction_2013_Sold_Player.csv,c03c6200,DJG Sammy,surname_initials_matching
2013,Sudeep Tyagi,,Bowler,,,,100000.0,USD,Sunrisers Hyderabad,IPL_Auction_2013_Sold_Player.csv,c24a2c5d,S Tyagi,surname_initials_matching
2013,Clinton McKay,,Bowler,,,,100000.0,USD,Sunrisers Hyderabad,IPL_Auction_2013_Sold_Player.csv,94eac556,CJ McKay,surname_initials_matching
2013,Nathan McCullum,,Bowler,,,,100000.0,USD,Sunrisers Hyderabad,IPL_Auction_2013_Sold_Player.csv,5673a3fc,NL McCullum,surname_initials_matching
2013,Quinton De Kock,,Wicket Keeper,,,,20000.0,USD,Sunrisers Hyderabad,IPL_Auction_2013_Sold_Player.csv,372455c4,Q de Kock,surname_initials_matching
2014,Faf Du Plessis,,Batsman,,,,47500000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,3355b542,F du Plessis,fuzzy_string_matching
2014,Dwayne Smith,,Batsman,,,,45000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,6e1a8b04,Verdayne Smith,fuzzy_string_matching
2014,Brendon McCullum,,Wicket Keeper,,,,32500000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,b8a55852,BB McCullum,surname_initials_matching
2014,Ashish Nehra,,Bowler,,,,20000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,96fd40ae,A Nehra,surname_initials_matching
2014,Mohit Sharma,,Bowler,,,,20000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,cd9f6505,Mohit Sharma,exact_match
2014,Ishwar Chandra Pandey,,Bowler,,,,15000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,UNRESOLVED,Ishwar Chandra Pandey,unresolved
2014,Ben Hilfenhaus,,Bowler,,,,10000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,f3171936,BW Hilfenhaus,fuzzy_string_matching
2014,John Hastings,,All-Rounder,,,,5000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,012829ff,JW Hastings,fuzzy_string_matching
2014,Samuel Badree,,Bowler,,,,3000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,76388dc8,S Badree,surname_initials_matching
2014,Matt Henry,,Bowler,,,,3000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,UNRESOLVED,Matt Henry,unresolved
2014,Mithun Manhas,,All-Rounder,,,,3000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,c42aaf71,M Manhas,surname_initials_matching
2014,Vijay Shankar,,All-Rounder,,,,1000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,0994d0ae,V Shankar,surname_initials_matching
2014,Ronit More,,Bowler,,,,1000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,b2b23612,RG More,surname_initials_matching
2014,Baba Aparajith,,Batsman,,,,1000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,5b627626,B Aparajith,fuzzy_string_matching
2014,Pawan Negi,,Bowler,,,,1000000.0,INR,Chennai Super Kings,IPL_Auction_2014_Sold_Player.csv,f62772e5,P Negi,surname_initials_matching
2014,Dinesh Karthik,,Wicket Keeper,,,,125000000.0,INR,Delhi Daredevils,IPL_Auction_2014_Sold_Player.csv,UNRESOLVED,Dinesh Karthik,unresolved
2014,Kevin Pietersen,,Batsman,,,,90000000.0,INR,Delhi Daredevils,IPL_Auction_2014_Sold_Player.csv,39f01cdb,KP Pietersen,surname_initials_matching
2014,Murali Vijay,,Batsman,,,,50000000.0,INR,Delhi Daredevils,IPL_Auction_2014_Sold_Player.csv,4b57e452,M Vijay,surname_initials_matching
2014,Mohammad Shami,,Bowler,,,,42500000.0,INR,Delhi Daredevils,IPL_Auction_2014_Sold_Player.csv,68ddabdb,Mohammad Sami,fuzzy_string_matching
2014,Nathan Coulter-Nile,,Bowler,,,,42500000.0,INR,Delhi Daredevils,IPL_Auction_2014_Sold_Player.csv,56ab442f,NM Coulter-Nile,fuzzy_string_matching
